STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,Fair Value Estimate Lot,BARANGAY
AGUINALDO ST.,NORTH DR TO 28TH ST (PREVIOUSLY NORTH DR TO 29TH ST),RR,15275,BARANGAY: 1 ZONE 1
,,CR *,29900,
GATUSLAO ST,NORTH DR TO 29TH ST,RR,13000,
,,CR *,29900,
LACSON ST,NORTH DR TO MANDALAGAN (BRIDGE),CR,85800,
GATUSLAO EXT. (CALAMBA St.),NORTH DR EXT. UP TO END OF CALAMBA ST.,RR *,15600,
NORTH DRIVE,SAN JUAN ST. TO GATUSLAO ST.,RR,21970,
,GATUSLAO ST. TO LACSON ST.,CR,48100,
SAN JUAN ST,NORTH DR TO STO NIÑO,RR,13520,
,,CR,37050,
23RD STREET,LACSON ST. TO GATUSLAO ST,RR,21710,
,,CR *,29900,
24TH STREET,CAPITOL SUBD TO GATUSLAO ST.,RR,21710,
,,CR,29900,
,LACSON ST. TO GATUSLAO ST.,RR,21710,
,,CR *,29900,
25TH STREET,LACSON ST. TO GATUSLAO ST.,RR,27300,
,,CR *,35490,
,CAPITOL SUBD TO GATUSLAO ST.,RR,27300,
,,CR *,32500,
26TH STREET,CAPITOL SUBD TO GATUSLAO ST.,RR,27300,
,,CR *,35100,
,LACSON ST. TO GATUSLAO ST.,RR,27300,
,,CR *,32500,
27TH STREET,CAPITOL SUBD TO GATUSLAO ST.,RR,27300,
,,CR *,35100,
,LACSON ST. TO GATUSLAO ST.,RR,27300,
,,CR *,32500,
28TH STREET,AGUINALDO ST. TO GATUSLAO ST.,RR,15600,
,,CR *,29900,
29TH STREET,29TH STREET EXT,RR,#VALUE!,
,AGUINALDO – GATUSLAO ST.,RR,#VALUE!,
CAPITOL SUBD ROAD,,RR,#VALUE!,
ALL OTHER STREETS,,RR,10400,
,,CR,20800,
,EASTERN PORTION FROM 4TH,,0,
,,,,BARANGAY : NAILON
,,,0,BARANGAY: MCKINLEY
"*Currently, the maximum selling price of A2 is more or less P30.00 per square meters",,,0,
NORTH CAPITOL ROAD,,RR,#VALUE!,BARANGAY: 2 ZONE 1
,GATUSLAO ST-LACSON ST,CR,#VALUE!,
NORTH DRIVE,GATUSLAO ST. TO NORTH DRIVE EXT. (PREVIOUSLY GATUSLAO ST. TO RECLAMATION AREA),RR,26000,
,,CR,32500,
SAN JUAN ST,NORTH CAPITOL TO MANDALAGAN RIVER,RR,13780,
,(Previously North Capitol North),CR,34450,
ALL OTHER STREETS,,RR,10400,
,,CR,20800,
,R. Diao Street to National Highway,,0,
GATUSLAO ST,NORTH DRIVE AVE. TO 17TH ST,RR,13000,BARANGAY: 3
NORTH DRIVE AVE,SAN JUAN ST. TO GATUSLAO ST.,RR,17940,
,,CR,48100,
SAN JUAN ST.,17TH ST. TO NORTH DRIVE AVE,RR,13000,
,,CR,34450,
17TH STREET,GATUSLAO ST. TO SAN JUAN ST.,RR,16250,
,,CR *,31850,
18TH STREET,GATUSLAO ST. TO SAN JUAN ST.,RR,18070,
,,CR *,31850,
19TH STREET,GATUSLAO ST. TO INT,RR,13780,
,,CR *,31850,
20TH STREET,GATUSLAO ST. TO INT,RR,13780,
,,CR *,31850,
21ST STREET,GATUSLAO ST. TO INT,RR,13780,
,,CR *,31850,
22ND STREET,GATUSLAO ST. TO INT,RR,13000,
,,CR *,31850,
ALL OTHER STREETS,INTERIOR,RR,9750,
,,CR,26000,
,EBARLE ST. M. CALO ST.,,0,
AGUINALDO ST,NORTH CAP. ROAD TO NORTH DRIVE,RR,14950,BARANGAY: 4
,,CR *,29900,
GATUSLAO ST,NORTH DR TO N CAPITOL,RR,27300,
LACSON ST,N CAPITOL TO NORTH DR,CR,85800,
NORTH CAPITOL RD,GATUSLAO ST. TO LACSON ST.,CR,70200,
NORTH DRIVE,GATUSLAO ST. TO LACSON ST. (PREVIOUSLY GATUSLAO TO SAN AGUSTIN),CR,48100,
10TH STREET,GATUSLAO TO AGUINALDO,RR,#VALUE!,
12TH STREET,LACSON ST. TO AGUINALDO ST.,RR,25610,
,,CR *,29900,
,GATUSLAO ST. TO AGUINALDO ST.,RR,25610,
,,CR *,27300,
13TH STREET,LACSON ST. TO AGUINALDO ST.,RR,26000,
,,CR *,29900,
,GATUSLAO ST. TO AGUINALDO ST.,RR,23400,
,,CR *,29900,
14TH STREET,LACSON ST. TO AGUINALDO ST.,RR,27950,
,,CR *,30550,
,GATUSLAO ST. TO AGUINALDO ST.,RR,27300,
,,CR *,30290,
15TH STREET,LACSON ST. TO AGUINALDO ST.,RR,27950,
,,CR *,34450,
,GATUSLAO ST. TO AGUINALDO ST.,RR,27300,
,,CR *,29900,
16TH STREET,LACSON ST. TO AGUINALDO ST.,RR,27950,
,,CR *,34450,
,GATUSLAO ST. TO AGUINALDO ST.,RR,24700,
,,CR *,29900,
17TH STREET,LACSON ST. TO AGUINALDO ST.,RR,27300,
,,CR *,34450,
,GATUSLAO ST. TO AGUINALDO ST.,RR,24700,
,,CR *,29900,
18TH STREET,LACSON ST. TO AGUINALDO ST.,RR,27300,
,,CR *,34450,
,GATUSLAO ST. TO AGUINALDO ST.,RR,24700,
,,CR *,29900,
19TH STREET,LACSON ST. TO AGUINALDO ST.,RR,27300,
,,CR *,32500,
20TH STREET,LACSON ST. TO AGUINALDO ST.,RR,27300,
,,CR *,30550,
21ST STREET,LACSON ST. TO AGUINALDO ST.,RR,27300,
,,CR *,30550,
22ND STREET,LACSON ST. TO AGUINALDO ST.,RR,27300,
,,CR *,30550,
ALL OTHER STREETS,,RR,16900,
,,CR,26000,
,EITHER SIDES,,0,
,,,,
,,,,
LA SALLE AVE,NORTH DR TO MANDALAGAN CRK,CR,38350,Barangay Najandig
LACSON ST,17TH ST TO NORTH DRIVE,CR,85800,Barangay 5
,NORTH DRIVE TO MANDALAGAN RIVER (PREVIOUSLY NORTH DRIVE TO 27TH ST.),CR,68900,
NORTH DRIVE AVE,LACSON ST. TO LA SALLE AVE.,CR,65000,
P TORRE ST,LACSON ST. TO NORTH DRIVE,RR,17550,
SAN AGUSTIN ST,17TH ST. TO 23RD STREET,RR,26000,
17TH STREET,LACSON ST. TO NORTH DRIVE,RR,27300,
,,CR *,46800,
18TH STREET,LACSON ST. TO SAN AGUSTIN ST,RR,27300,
,,CR *,46800,
19TH STREET,LACSON ST. TO SAN AGUSTIN ST,RR,27300,
,,CR *,46800,
20TH STREET,LACSON ST. TO NORTH DRIVE,RR,27300,
,,CR *,46800,
21ST STREET,LACSON ST. TO MANDALAGAN CRK,RR,27300,
,,CR *,46800,
22ND STREET,LACSON ST. TO NORTH DRIVE,RR,27300,
,,CR *,46800,
23RD STREET,LACSON ST. TO MANDALAGAN RIVER,RR *,27300,
,,CR *,46800,
24TH STREET,LACSON SURRDG AREA,RR,27300,
,,CR *,46800,
ALL OTHER STREETS,,RR,17160,
,,CR,27560,
,R. Diao St. to National Highway,,0,
,,,,
GATUSLAO ST,N CAPITOL RD TO 17TH ST.,RR,16900,
,,CR,44850,Barangay 6
NORTH CAPITOL RD,SAN JUAN ST. TO GATUSLAO ST.,RR,16900,
,,CR,40950,
SAN JUAN ST,N CAPITOL RD TO 17TH ST.,RR,24700,
,,CR,38350,
11TH STREET INT,GATUSLAO ST. TO 12TH STREET,RR,16900,
,,CR *,28600,
12TH STREET,GATUSLAO ST. TO INTERIOR,RR,17550,
,,CR *,27950,
13TH STREET,GATUSLAO TO INTERIOR,RR,#VALUE!,
14TH STREET,GATUSLAO TO INTERIOR,RR,#VALUE!,
15TH STREET,GATUSLAO TO INTERIOR,RR,#VALUE!,
16TH STREET,GATUSLAO TO INTERIOR,RR,#VALUE!,
17TH STREET,,RR,#VALUE!,
ALL OTHER STREETS,,RR,14300,
,,CR,26000,
,P. Quindo St. to Mabini St.,,0,
,,,,
,,,,
,,,,BARANGAY: 50 – MACASANDIG SECTION 12
,,,,
,,,,BARANGAY : ANISLAGAN
,,,,
HILADO EXT,6TH STREET TO IPIL AVE,CR,42900,BARANGAY: 7
,IPIL AVE TO 15TH STREET,RR,20800,
,,CR,43550,
IPIL AVENUE,,CR,41600,
LACSON ST,6TH STREET TO 17TH STREET,CR,85800,
NORTH DRIVE AVE,15TH ST TO 17TH ST,CR,46800,
SAN AGUSTIN ST,,RR,16900,
TINDALO AVENUE,,CR,50700,
6TH STREET,LACSON ST. TO HILADO ST,CR,52000,
,INT 6TH ST TO 10TH ST,RR,22100,
7TH STREET,LACSON ST. TO INT 7TH STREET,RR,22100,
,,CR *,29900,
8TH STREET,LACSON ST. TO INT 8TH STREET,RR,22100,
,,CR *,29900,
9TH STREET,LACSON ST. TO INT 9TH STREET,RR,22100,
,,CR *,29900,
10TH STREET,LACSON ST. TO IPIL AVE,RR,22100,
,,CR *,29900,
11TH STREET,INT OF 11TH STREET,RR,22100,
,,CR *,29900,
12TH STREET,INT OF 12TH STREET,RR,22100,
,,CR *,29900,
13TH STREET,INT OF 13TH STREET,RR,22100,
,,CR *,29900,
14TH STREET,INT OF 14TH STREET,RR,22100,
,,CR *,29900,
15TH STREET,LACSON ST. TO NORTH DRIVE,RR,22100,
,,CR *,29900,
16TH STREET,LACSON ST. TO NORTH DRIVE,RR,22100,
,,CR *,29900,
,INT OF 16TH STREET,RR,22100,
,,CR *,29900,
17TH STREET,LACSON ST. TO NORTH DRIVE,RR,22100,
,,CR *,29900,
ALL OTHER STREETS,,RR,13260,
,,CR,26000,
MENCHACA SUBD,,RR,14950,
,P. Quindo Street to Mabini St.,,0,
,,,,
COTTAGE ROAD,NURSERY RD TO GATUSLAO ST.,GL *,78000,
GATUSLAO ST,BURGOS ST. TO NORTH CAPITOL RD. (PREVIOUSLY BURGOS SURRDG AREA),GL *,85800,BARANGAY: 8
NORTH CAPITOL,SAN JUAN ST. TO GATUSLAO ST,GL *,78000,
NURSERY ROAD,SOUTH CAPITOL TO COTTAGE RD,GL *,78000,
SAN JUAN ST,BO. 10 BDRY. TO NORTH CAP. RD,RR,24700,
,,CR,38350,
SOUTH CAPITOL RD,SAN JUAN ST. TO GATUSLAO ST,GL *,52000,
ALL OTHER STREETS,,RR,17550,
,,CR,29900,
,Nonoy Bollos St. to Magsaysay St.,,0,
,,,,
,,,,
A. LOCSIN ST,GALO ST. TO BURGOS ST,RR,33800,BARANGAY: 9
,,CR *,57200,
BURGOS ST,GATUSLAO ST. TO LACSON ST.,GL **,78000,
,LOCSIN ST. TO LACSON ST,CR,65000,
COTTAGE RD,GATUSLAO ST. TO LACSON ST.,GL **,78000,
GALO ST,LACSON ST. TO LOCSIN ST.,CR,57200,
GATUSLAO ST,BURGOS ST. TO NORTH CAPITOL RD,GL **,78000,
LACSON ST,BURGOS ST. TO NORTH CAPITOL RD,GL **,85800,
LACSON ST,GALO ST. TO BURGOS ST.,CR,85800,
NORTH CAPITOL ROAD,GATUSLAO ST. TO LACSON ST.,GL **,78000,
SOUTH CAPITOL ROAD,GATUSLAO ST. TO LACSON ST.,GL **,78000,
ALL OTHER STREETS,,RR,20800,
,,CR,39000,
,EXT. ST,,0,
,,,,
,,,,
,,,,BARANGAY : TUBOD
BURGOS ST,GATUSLAO ST. TO MAMBULOC CREEK (PREVIOUSLY GATUSLAO TO RECLAMATION AREA),RR,26520,
,,CR *,65000,BARANGAY: 10
GATUSLAO ST,BURGOS ST. TO MAMBULOC,RR,24050,
,,CR,65000,
SAN JUAN ST,BURGOS ST. TO MAMBULOC CREEK,RR,19500,
,,CR *,29900,
SAN JUAN ST,BURGOS ST. TO SOUTH CAPITOL RD.(PREVIOUSLY BURGOS ST TO CORDOVA BLVD.),RR,19500,
,,CR,46800,
ALL OTHER STREETS,,RR,14950,
,,CR,27300,
,EXT. ST,,0,
,,,,
A. LOCSIN ST,RIZAL ST. TO BURGOS ST,RR,24700,
,,CR,65000,BARANGAY: 11 ZONE 2
BURGOS ST,GATUSLAO ST. TO LOCSIN ST.,CR,80600,
GALO ST,GATUSLAO ST. TO LOCSIN ST.,CR,57200,
,SAN JUAN ST. TO GATUSLAO ST.,CR,57200,
GATUSLAO ST,RIZAL ST. TO BURGOS ST,CR,65000,
NUEVA ST,GATUSLAO ST. TO LOCSIN ST.,RR,31200,
,,CR *,52000,
RIZAL ST,SAN JUAN ST. TO LOCSIN ST,CR,65000,
SAN JUAN ST,RIZAL ST. TO BURGOS ST,RR,22100,
,,CR,57200,
ALL OTHER STREETS,,RR,17550,
,,CR,50700,
,EXT. ST,,0,
ARANETA ST,LUZURIAGA ST. TO GONZAGA ST.,CR,72800,
BONIFACIO ST,LUZURIAGA ST. TO GONZAGA ST.,CR,65000,
,LUZURIAGA ST. TO GONZAGA ST.,GL **,39000,BARANGAY: 12
GALO ST,SAN JUAN ST. TO GATUSLAO ST.,CR,57200,
GATUSLAO ST,LUZURIAGA ST. TO GONZAGA ST.,CR,65000,
,LUZURIAGA ST. TO GONZAGA ST.,GL **,39000,
GONZAGA ST,LOCSIN ST. TO SAN JUAN ST,CR,72800,
,LOCSIN ST. TO SAN JUAN ST,GL **,39000,
LOCSIN ST,LUZURIAGA ST. TO GONZAGA ST.,CR,65000,
LUZURIAGA ST,LOCSIN ST. TO SAN JUAN ST,CR,72800,
,LOCSIN ST. TO SAN JUAN ST,GL **,39000,
SAN JUAN ST,LUZURIAGA ST. TO GONZAGA ST.,CR,72800,
,RIZAL ST. TO MAMBULOC CREEK,RR,22100,
,,GL **,29900,
SAN JUAN ST,LUZURIAGA ST. TO RIZAL ST.,GL **,44850,
,LUZURIAGA ST. TO RIZAL ST.,CR *,72800,
ALL OTHER STREETS,,RR,20800,
,,CR,42900,
,F. ESCARIO ST & JAKOSALEM ST INCLUDING,,0,
ALONG NATIONAL HIGHWAY,"1324, 1332, 1308, 1832, 1413, 1415, 1417, 1311, 1296, 1297, 1305, 1306, 1827",,0,
A. LOCSIN ST,SAN SEBASTIAN ST. TO LUZURIAGA ST.,CR,65000,
ARANETA ST,SAN SEBASTIAN ST. TO LUZURIAGA ST.,CR,72800,BARANGAY : TUBO-TUBO (NEW DEL MONTE)
BALLESTEROS ST,ARANETA ST. TO GATUSLAO ST.,CR,72800,BARANGAY: 13
GATUSLAO ST,SAN SEBASTIAN ST. TO LUZURIAGA ST.,CR,72800,
LUZURIAGA ST,SAN JUAN ST. TO LOCSIN ST.,CR,72800,
SAN JUAN ST,SAN SEBASTIAN ST. TO LUZURIAGA ST.,CR,57200,
SAN SEBASTIAN ST,LOCSIN ST. TO ARANETA ST,CR,65000,
,LACSON ST TO LOCSIN ST,CR *,78000,
,ARANETA ST. TO SAN JUAN ST.,CR,72800,
,SAN JUAN ST. TO RECLAMATION,RR,20800,
,,CR *,72800,
ALL OTHER STREETS,**,RR,20800,
,,CR,52000,
Note: *New classification of land in this barangay.,,,0,
ARANETA ST,ROSARIO ST. TO SAN SEBASTIAN ST.,CR,72800,
ROSARIO ST,ARANETA ST. TO SAN JUAN ST,CR,57200,
,SAN JUAN ST. TO YULO AVE,RR,31200,BARANGAY: 14
SAN JUAN ST,ROSARIO ST. TO SAN SEBASTIAN ST.,CR,57200,
SAN SEBASTIAN ST,SAN JUAN ST. TO RECLAMATION,RR,20800,
,SAN JUAN ST. TO ARANETA ST.,CR,72800,
YULO AVENUE,ROSARIO ST. TO MAUPAY CREEK,RR,26000,
ALL OTHER STREETS,,RR,20800,
,,CR,39000,
ARANETA AVE,ROSARIO ST. TO SAN SEBASTIAN ST.,CR,72800,
GATUSLAO ST,ROSARIO ST. TO SAN SEBASTIAN ST.,CR,72800,
LOCSIN ST,ROSARIO ST. TO SAN SEBASTIAN ST.,CR,59800,BARANGAY: 15
ROSARIO ST,ARANETA ST. TO LOCSIN ST.,RR,36400,
,,CR,57200,
SAN SEBASTIAN ST,LOCSIN ST. TO ARANETA ST,CR,65000,
ALL OTHER STREETS,,RR,26000,
,,CR,52000,
ARANETA ST,ROSARIO ST. TO HERNAEZ ST.,CR,65000,
,ROSARIO ST. TO HERNAEZ ST.,GL *,23400,
CELSO TAN ST,CAMEROLI ST,RR,9750,BARANGAY: 16
HERNAEZ ST,YULO ST. TO ARANETA ST,GL *,20800,
RODRIGUEZ AVE,YULO ST. TO CELSO TAN ST,RR,12480,
ROSARIO ST,YULO ST. TO ARANETA ST,CR,24700,
,YULO ST. TO ARANETA ST,GL *,23400,
YULO ST,RODRIGUEZ ST. TO HERNAEZ ST,RR,14300,
,HERNAEZ ST TO ROSARIO ST.,CR,39000,
,HERNAEZ ST TO ROSARIO ST.,GL *,20800,
ALL OTHER STREETS,,RR,7800,
,,CR,26000,
,Nonoy Bollos St. to Magsaysay St.,,0,
BURGOS ST,HILADO ST. TO D. RAMOS ST.,CR,72800,
CAMAGONG RD,D. MANALO RD. TO 6TH ST.,RR,17550,
,,CR,29900,BARANGAY 17 ZONE 3
D. MANALO RD,BURGOS ST TO HILADO ST,RR,16900,
,,CR,26000,
D. RAMOS ST,BURGOS ST TO D MANALO RD,RR,15600,
GUSTILO ST,MAMBULOC CREEK INT.,RR,16900,
HILADO ST,BURGOS ST. TO 6TH STREET,CR,33800,
LACSON ST,6TH ST. TO MAMBULOC CREEK (PREVIOSLY BURGOS ST. TO 6TH STREET),CR,85800,
1ST STREET,INT. OF LACSON ST,RR,17550,
,,CR *,27950,
2ND STREET,INT. OF LACSON ST,RR,19500,
,,CR *,26000,
3RD STREET,INT. OF LACSON ST,RR,19500,
,,CR *,26000,
4TH STREET,INT. OF LACSON ST,RR,19500,
,,CR *,26000,
5TH STREET,INT. OF LACSON ST,RR,19500,
,,CR *,26000,
6TH STREET,LACSON ST. TO HILADO ST,RR *,22750,
,,CR,52000,
CITY SCAPES(CONDO UNITS),6TH ST.,RC *,163800,
,,CC *,195000,
,,PS *,104000,
ALL OTHER STREETS,,RR,7800,
,,CR,31200,
CAPITOL SUBD,,RR,14300,
VICTORIA COURT SUBD.,,RR *,13000,
,Lot Fronting School Site,,0,
BURGOS ST,LACSON ST. TO D. RAMOS RD.,CR,72800,
D. RAMOS RD.,BURGOS ST. TO INT.,RR,16900,
GUSTILO ST,BURGOS ST. TO INT.,RR,16900,BARANGAY 18
HOSPITAL ROAD,LACSON ST. TO INT.,RR,17550,
LACSON ST,BURGOS ST. TO MAMBULOC CREEK,CR,85800,
ALL OTHER STREETS,,RR,13000,
,,CR,52000,
BURGOS ST,LACSON ST. TO D. RAMOS RD.,CR,72800,
,D. RAMOS RD. TO HILADO ST,CR,72800,
,D. RAMOS RD. TO HILADO ST,GL *,57200,BARANGAY 19
D. RAMOS ST,GALO ST. TO BURGOS ST.,GL *,57200,
G.V. STREET,GALO ST. TO BURGOS ST.,RR,17550,
GALO ST,LACSON ST. TO D. RAMOS RD.,CR,57200,
,D. RAMOS RD. TO HILADO ST.,CR,65000,
,D. RAMOS RD. TO HILADO ST.,GL *,33800,
HILADO ST,GALO ST. TO BURGOS ST,GL *,38350,
LACSON ST,GALO ST. TO BURGOS ST,CR,85800,
ALL OTHER STREETS,,RR,15600,
,,CR,35100,
,Nonoy Bollos St. to Magsaysay St.,,0,
BBB AVENUE,GALO ST. TO BURGOS ST,RR,20150,
,GALO ST. TO BURGOS ST,GL *,13000,
BURGOS ST,HILADO ST. TO LOPEZ JAENA ST.,CR,75400,BARANGAY 20
GALO ST,HILADO ST. TO BBB AVE,CR,46800,
,BBB AVE TO LOPEZ JAENA ST.,RR,18850,
HILADO ST,GALO ST. TO BURGOS ST,CR,57200,
,GALO ST. TO BURGOS ST,GL *,57200,
LOPEZ JAENA ST,GALO ST. TO BURGOS ST,RR,20800,
,,CR,46800,
SUBDIVISION RD,,RR,17550,
,,GL *,10400,
ALL OTHER STREETS,,RR,13000,
,,CR,39000,
,Nonoy Bollos St. to Magsaysay St.,,0,
A. LOCSIN ST.,RIZAL ST. TO GALO ST,RR,20150,
,GONZAGA ST. TO RIZAL ST,CR,65000,
CUADRA ST,LACSON ST. TO GATUSLAO ST.,CR,72800,BARANGAY: 21
GALO ST,A LOCSIN ST. TO LACSON ST.,CR,65000,
GATUSLAO ST,GONZAGA ST. TO RIZAL ST.,CR,65000,
GONZAGA ST,A LOCSIN ST. TO SAN JUAN ST.,CR,72800,
,SAN JUAN ST. – LACSON ST.,CR *,72800,
LACSON ST,GALO ST. TO CUADRA ST.,CR,85800,
RIZAL ST,SAN JUAN ST. TO LACSON ST.,CR,65000,
SAN JUAN ST,GONZAGA ST. TO RIZAL ST.,CR,72800,
ALL OTHER STREETS,,RR,10400,
,,CR,33800,
Note: * New street in this Barangay,,,0,
D. RAMOS RD,RIZAL ST TO GALO ST,CR,57200,
GALO ST,LACSON ST TO RAMOS ST,CR,57200,
,D. RAMOS RD. TO HILADO ST,CR,57200,BARANGAY: 22
HILADO ST,RIZAL ST TO GALO ST,CR,39000,
LACSON ST,RIZAL ST TO GALO ST,CR,85800,
MABINI ST,RIZAL ST TO GALO ST,RR,26000,
RIZAL ST,MABINI ST TO HILADO ST,RR,18850,
,LACSON ST TO MABINI ST,CR,52000,
ALL OTHER STREETS,,RR,17550,
,,CR,39000,
BBB AVENUE,GALO ST. TO INTERIOR,RR,15600,
,,CR *,46800,
GALO ST,LOPEZ JAENA ST. TO BBB AVE.,RR,17550,BARANGAY: 23
,HILADO ST TO BBB AVE.,RR,20150,
,HILADO ST. TO BBB AVE,CR *,46800,
HILADO ST,RIZAL ST. TO GALO ST.,CR,39000,
LOPEZ JAENA ST,RIZAL ST. TO GALO ST.,RR,15600,
,,CR,39000,
RIZAL ST,HILADO ST. TO LOPEZ JAENA ST.,RR,17550,
SOLAR BLOCKS,GALO ST. TO INTERIOR,RR,20150,
ALL OTHER STREETS,,RR,15600,
,,CR,31200,
,Lots 39 to 49 Block 16,,0,
CUADRA ST,LOCSIN ST TO LACSON ST,CR,72800,
GONZAGA ST,LOCSIN ST TO LACSON ST,CR,85800,
,LACSON ST TO MABINI ST,CR,65000,BARANGAY: 24
LACSON ST,GONZAGA ST TO RIZAL ST,CR,85800,
LOCSIN ST,GONZAGA ST TO CUADRA ST,CR,65000,
MABINI ST,GONZAGA ST TO RIZAL ST,RR,24700,
,,CR,36400,
RIZAL ST,LACSON ST TO MABINI ST,CR,52000,
ALL OTHER STREETS,,RR,20800,
,,CR,46800,
GONZAGA ST,LACSON ST TO MABINI ST,CR,65000,
LACSON ST,LUZURIAGA ST. TO GONZAGA ST.,CR,85800,
LUZURIAGA ST,LACSON ST TO MABINI ST,RR,31200,BARANGAY: 25
MABINI ST,LUZURIAGA ST. TO GONZAGA ST.,RR,23400,
,,CR,46800,
ALL OTHER STREETS,,RR,26000,
,,CR,41600,
CIOCON ROAD,MABINI ST. TO INTERIOR,RR,15600,
GONZAGA ST,MABINI ST. TO LOPEZ JAENA ST.,RR,15600,
LOPEZ JAENA ST,GONZAGA ST. TO RIZAL ST.,RR,15600,BARANGAY: 26
,,CR,39000,
MABINI ST,GONZAGA ST. TO RIZAL ST.,RR,24700,
,,CR,36400,
RIZAL ST,MABINI ST TO HILADO ST,RR,18850,
,HILADO ST. TO LOPEZ JAENA ST.,RR,17550,
ALL OTHER STREETS,,RR,15600,
,,CR,39000,
GALO ST,LOPEZ JAENA ST. TO LUPIT RIVER,RR,13000,
GONZAGA ST,LOPEZ JAENA ST. TO LUPIT RIVER(PREVIOUSLY GONZAGA ST. TO GALO ST.),RR,13000,
LOPEZ JAENA ST,GONZAGA ST. TO GALO ST.,RR,15600,BARANGAY: 27
,,CR,39000,
RIZAL ST,LOPEZ JAENA ST. TO LUPIT RIVER,RR,13000,
ALL OTHER STREETS,,RR,10400,
,,CR,29900,
DELA RAMA SUBD,LOPEZ JAENA ST. TO BMMC RD,RR,13000,
GONZAGA ST,MABINI ST. TO LOPEZ JAENA ST.,RR,15600,
GONZAGA ST,LOPEZ JAENA ST. TO LUPIT RIVER,RR,13000,
LOPEZ JAENA ST,LUZURIAGA ST. TO GONZAGA ST.,RR,23140,BARANGAY: 28
,,CR,39000,
LUZURIAGA ST,MABINI ST. TO LOPEZ JAENA ST.,RR,16900,
