STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,Fair Value Estimate Lot,BARANGAY
,LOPEZ JAENA ST. TO LUPIT RIVER,RR,13000,
MABINI ST,LUZURIAGA ST. TO GONZAGA ST.,RR,23400,
,,CR,46800,
DIMASALANG ROAD,LUZURIAGA ST. TO GONZAGA ST.,RR,20800,
GAMBOA ROAD,LUZURIAGA ST. TO GONZAGA ST.,RR,20800,
PARREÑO ROAD,LUZURIAGA ST. TO GONZAGA ST.,RR,20800,
ALL OTHER STREETS,,RR,7800,
,,CR,31200,
DELA RAMA SUBD,,RR,18850,
LACSON ST,MALALUSAN TO LUZURIAGA ST.,CR,85800,
LUZURIAGA ST,LACSON ST TO MABINI ST,RR,31200,
MABINI ST,MALALUSAN TO LUZURIAGA ST.,RR,37700,BARANGAY: 29
,,CR,52000,
MALALUSAN,DOÑA PROCESA ST. TO MABINI ST,RR,20800,
ALL OTHER STREETS,,RR,20800,
,,CR,46800,
LUZURIAGA ST,MABINI ST TO STA. ANA ST.,RR,17550,
MABINI ST,SAN SEBASTIAN ST. TO LUZURIAGA ST.,RR,23400,
,,CR,46800,BARANGAY: 30
MALALUSAN EXT,,RR,17550,
STA. ANA ST. (PILARTA ST.),SAN SEBASTIAN ST. TO LUZURIAGA ST.,RR,14950,
SAN SEBASTIAN ST,STA. ANA ST TO MABINI ST,RR,16900,
VERBENA ST,SAN SEBASTIAN ST. TO MALALUSAN,RR,17550,
DOÑA JULIANA ST.,SAN SEBASTIAN ST. TO MALALUSAN,RR,17550,
ALL OTHER STREETS,,RR,14950,
,,CR,39000,
HERNAEZ ST,MARGARITA ST. TO LUPIT RIVER,CR,39000,
LOPEZ JAENA ST,ROSARIO ST TO LUZURIAGA ST,CR,39000,
LUZURIAGA ST,LOPEZ JAENA ST. TO LUPIT RIVER,RR,13000,BARANGAY: 31
,STA. ANA ST. TO LOPEZ JAENA ST.,RR,16900,
PERALTA ST,SAN SEBASTIAN ST. TO LUZURIAGA ST.,RR,14300,
POINSETIA ST,LOPEZ JAENA ST. TO SAN SEBASTIAN ST.,RR,20800,
,HERNAEZ ST TO LOPEZ JAENA,CR,#VALUE!,
SAN SEBASTIAN ST,POINSETIA ST TO STA. ANA ST.,RR,18850,
ALL OTHER STREETS,INTERIOR,RR,7800,
,,CR,27300,
NEW SAN SEBASTIAN SUBD,,CR,29900,
,,RR,19500,
ADELFA ST,ROSARIO ST TO MALALUSAN,RR,20800,
DOÑA MARIA ST,ROSARIO ST TO MALALUSAN,RR,20800,
DOÑA PROCESA ST,ROSARIO ST TO MALALUSAN,RR,20800,BARANGAY: 32
JASMIN ST,ROSARIO ST TO MALALUSAN,RR,20800,
LACSON ST (BDO),ROSARIO ST TO MALALUSAN,CR,85800,
LIRIO ST,ROSARIO ST TO MALALUSAN,RR,20800,
,,CR,65000,
MABINI ST,ROSARIO ST TO MALALUSAN,RR,23400,
,,CR,39000,
MALALUSAN ST,LACSON ST TO MABINI ST,RR,20800,
ROSARIO ST,LACSON ST TO MABINI ST,RR,31200,
SAN SEBASTIAN ST,LACSON ST TO MABINI ST,RR,31200,
ALL OTHER STREETS,,RR,15600,
,,CR,33800,
AMAPOLA ST,SAN SEBASTIAN ST. TO LOPEZ JAENA ST.,RR,26000,
DOÑA JULIANA,SAN SEBASTIAN ST. TO HERNAEZ ST.,RR,26000,
HERNAEZ ST,MABINI ST TO POINSETIA ST. (PREVIOUSLY. MABINI ST TO AMELIA AVE),CR,65000,BARANGAY: 33
,AMELIA ST TO MARGARITA,CR,#VALUE!,
LIRIO ST,ROSARIO ST TO SAN SEBASTIAN ST.,RR,20800,
LOPEZ JAENA ST,HERNAEZ ST TO ROSARIO ST,CR,65000,
MABINI ST,ROSARIO ST TO HERNAEZ ST,CR,48100,
,ROSARIO ST TO SAN SEBASTIAN ST.,RR,33800,
,,CR,48100,
POINSETIA ST,ROSARIO ST TO SAN SEBASTIAN ST.,RR,31200,
ROSARIO ST,MABINI ST TO LOPEZ JAENA ST,RR,27300,
ROSEA ST,SAN SEBASTIAN ST. TO LOPEZ JAENA ST.,RR,22100,
SAN SEBASTIAN ST,MABINI ST TO POINSETIA ST.,RR,16900,
VERBENA ST,ROSARIO ST TO HERNAEZ ST,RR,16900,
VERBENA ST,SAN SEBASTIAN ST TO ROSARIO ST,RR,16900,
MARGARITA ST,HERNAEZ ST TO LOPEZ JAENA ST,CR,42900,
ALL OTHER STREETS,,RR,16900,
,,CR,42900,
,P. Quindo St. to Mabini St.,,0,
ALUNAN AVENUE,CELSO TAN ST TO YULO AVE,RR,13000,BARANGAY: 34
BAGONG BUHAY ROAD,ALUNAN AVE TO RODRIGUEZ AVE.,RR,13000,
BAGONG LIPUNAN ROAD,BAGONG BUHAY TO YULO AVE,RR,13000,
CELSO TAN ST,ALUNAN AVE TO RODRIGUEZ AVE.,RR,13000,
RODRIGUEZ AVE,CELSO TAN ST TO YULO AVE,RR,13000,
YULO AVE,ALUNAN AVE TO RODRIGUEZ,RR,15600,
ALL OTHER STREETS,,RR,11700,
,,CR,18200,
ALUNAN AVE,YULO AVE TO CELSO TAN ST,RR,13000,
,CORAZON AVE TO YULO AVE,RR,20800,
CELSO TAN ST,ALUNAN AVE TO RODRIGUEZ AVE.,RR,13000,
CORAZON AVE,ALUNAN AVE TO LUPIT RIVER,RR,20800,
YULO AVE,ALUNAN AVE TO LUPIT RIVER,RR,7800,
,,CR *,20800,
ALL OTHER STREETS,,RR,10920,
,,CR,15600,
LIZARES SUBD,,RR,10400,
,ROAD TOWARD THE MILITARY,,0,
ALUNAN AVE,YULO AVE TO ARANETA AVE,RR,26000,BARANGAY: 36
ARANETA ST,HERNAEZ ST TO ALUNAN AVE.(PREVIOUSLY HERNAEZ ST. TO LUPIT RIVER),CR,65000,
,ALUNAN AVE. TO- LUPIT RIVER,CR,56420,
CORAZON AVE,QUEZON AVE TO LUPIT RIVER,RR,20800,
HERNAEZ ST,ARANETA ST TO YULO AVE,RR,20800,
LIZARES AVE,YULO AVE TO ARANETA AVE,RR,26000,
QUEZON AVE,YULO AVE TO ARANETA AVE,RR,26000,
RODRIGUEZ AVE,YULO AVE TO ARANETA AVE,RR,26000,
YULO AVE,HERNAEZ ST TO RODRIGUEZ AVE.,RR,26000,
,RODRIGUEZ AVE TO ALUNAN AVE.,RR,26000,
ALL OTHER STREETS,,RR,20800,
,,CR,31200,
GONZAGA ST,LACSON ST TO LOCSIN ST,CR,85800,BARANGAY: 37
LACSON ST,GONZAGA ST TO LUZURIAGA ST.,CR,85800,
,LUZURIAGA ST TO ROSARIO ST,CR,85800,
LOCSIN ST,ROSARIO ST TO SAN SEBASTIAN ST.,CR,80600,
,SAN SEBASTIAN ST. TO GONZAGA ST.,CR,65000,
LUZURIAGA ST,LACSON ST TO LOCSIN ST,CR,72800,
ROSARIO ST,LACSON ST TO LOCSIN ST,RR,40950,
SAN SEBASTIAN AVE,LACSON ST TO LOCSIN ST,CR,78000,
ALL OTHER STREETS,,RR,27950,
,,CR,52000,
ADELFA ST,HERNAEZ ST TO ROSARIO ST,RR,22100,BARANGAY: 38
ARANETA ST,HERNAEZ ST TO ROSARIO ST,CR,65000,
GATUSLAO ST,HERNAEZ ST TO ROSARIO ST,CR,57200,
HENARES,HERNAEZ ST TO ROSARIO ST,RR *,23400,
,,CR *,52000,
HERNAEZ ST,ARANETA ST TO MABINI ST,CR,52000,
,HERNAEZ ST TO ROSARIO ST,RR,#VALUE!,
LACSON ST,HERNAEZ ST TO ROSARIO ST,CR,85800,
LOCSIN ST,HERNAEZ ST TO ROSARIO ST,RR,33800,
,,CR,65000,
MABINI ST,HERNAEZ ST TO ROSARIO ST,CR,52000,
ROSARIO ST,ARANETA ST TO MABINI ST,RR,26000,
,,CR,57200,
ALL OTHER STREETS,,RR,20800,
,,CR,39000,
,EASTERN OF PIDO ST FR.,,0,
ABAD SANTOS ST,ARAULLO ST. TO LACSON ST,RR,10400,BARANGAY: 39
,ROXAS AVE TO ARAULLO ST.,RR,11960,
ALUNAN AVE,CAPT. DICANG TO ARANETA ST.,RR,13000,
ARANETA ST,HERNAEZ ST TO ALUNAN AVE.,CR,65000,
,ALUNAN AVE. TO LUPIT RIVER,CR,56420,
ARAULLO ST,ROXAS AVE TO LUPIT RIVER,RR,6240,
AVANCENA ST,PARRAS TO LUPIT RIVER,RR,6240,
CAPITANA DICANG,LIZARES AVE TO ROXAS AVE,RR,9360,
HERNAEZ ST,LACSON ST TO ARANETA ST,GL **,52000,
,,CR *,52000,
LACSON ST,HERNAEZ ST TO LIZARES AVE,CR,78000,
,LIZARES AVE TO LUPIT RIVER,RR,26000,
,,CR,65000,
LIZARES AVE,LACSON ST TO ARANETA ST,GL **,26000,
,LACSON ST TO ARANETA ST,RR,28600,
,LACSON ST TO ARANETA ST,CR,52000,
MORAN ST,LACSON ST TO A. SANTOS ST,RR,15080,
OSMEÑA AVE,CAPT. DICANG TO ARANETA ST.,RR,13000,
PARRAS,ARAULLO TO A. SANTOS ST,RR,11180,
ROXAS AVE,LACSON ST TO ARANETA ST,RR *,15600,
ROXAS AVE,LACSON ST TO CAPT. DICANG,RR,15600,
,CAPT. DICANG TO ARANETA ST.,RR,15600,
HOMBRIDGE SUBD.,,RR *,7800,
SOUTHVILLE SUBDIVISION,PREMIUM LOTS,RR *,8450,
ALL OTHER STREETS,,RR,7800,
,,CR,42900,
,F. ESCARIO ST & JAKOSALEM ST INCLUDING,,0,
,,,,BARANGAY : DIMAYON *
ADELFA ST,MARGARITA AVE TO HERNAEZ ST.,CR,61620,BARANGAY: 40
,,RR,26000,
AMELIA AVE,MERCEDES AVE TO HERNAEZ ST.,CR,52000,
,LIZARES AVE AVE. TO MERCEDES AVE,CR,52000,
ARELLANO ST,ROXAS AVE TO MORAN ST,RR,13000,
CARMEN AVE,LIZARES AVE TO HERNAEZ ST,RR,19500,
HERNAEZ ST,LACSON ST TO AMELIA AVE,CR,52000,
,AMELIA AVE TO PVT. ROAD,CR,52000,
,PVT. ROAD TO LUPIT BRIDGE,RR,22100,
JOVITA AVE,LIZARES AVE TO HERNAEZ ST,RR,15600,
,,CR,47840,
LACSON ST,LIZARES AVE TO LUPIT (RIVER),RR,26000,
,,CR,65000,
,LIZARES AVE TO HERNAEZ ST,CR,78000,
LIZARES AVE,LACSON ST TO AMELIA AVE,RR,41600,
,,CR,56160,
,AMELIA AVE TO HERNAEZ ST,RR,26000,
MABINI ST,LIZARES AVE TO HERNAEZ ST,CR,44200,
MAPA ST,ROXAS AVE TO LUPIT,RR,13000,
MARGARITA AVE,CARMEN AVE TO MABINI ST,RR,19500,
,,CR,33800,
,MABINI ST TO AMELIA AVE,RR,26000,
,AMELIA AVE TO HERNAEZ ST,RR,26000,
PARAS AVE.,ABAD SANTOS AVE. – ARAULLO AVE.,RR *,26000,
MERCEDES AVE,CARMEN AVE. – MABINI ST.,RR,14300,
,,CR,39000,
,MABINI ST TO AMELIA AVE,CR,52000,
,AMELIA AVE TO MARGARITA AVE,RR,19500,
,,CR *,39000,
MORAN ST,LACSON ST TO ARELLANO ST,RR,14300,
ROXAS AVE,LACSON ST. TO INT.,RR,13000,
ALL OTHER STREETS,,RR,10400,
,,CR,39000,
,NATIONAL ROAD),,0,
BMMC COMPOUND,,I,19500,BARANGAY: 41
BMMC COMPOUND,ALONG GALO EXT. BMMC CMPD,RR,26000,
,,CR *,39000,
ALL OTHER STREETS,,RR,15600,
,,CR,36400,
Note: * New classification of land in this street,,,0,
ALANGILAN PROPER,Granada Bdry. To Bridge,RR *,1300,BARANGAY: ALANGILAN
ALL OTHER STREETS,,RR,1079,
,,A17,101.4,
,,A50,58.5,
GOLDEN GATE HILLS,,RR *,3900,
SAN FRANCISCO FARMVILLE,,RR *,2080,
JULAG-AY SUBD,,RR,#VALUE!,
NEGRENCES SUBD,,RR,#VALUE!,
SALAZAR SUBD,,RR,#VALUE!,
VIDAMO SUBD,,RR,#VALUE!,
,P.C.BARRACKS,,0,
,,,,BARANGAY: MINABA
,,,,BARANGAY : BAGONG SILANG
ACCO,,RR ****,3120,BARANGAY: ALIJIS
ARLES SUBD.,,RR ****,3900,
BACOLOD – MURCIA RD,CROS. NAT-L. RD. TRADE SCHOOL,RR,10400,
,TO CROSS ALIJIS CROSSING,CR,15600,
BENARES SUBD,*,RR,3900,
BOTH SD CIRCUMFERENCIAL RD.,BAKYAS CREEK TO ALIJIS NAT-L RD.,RR,7800,
,,CR ****,10400,
C. HODGES SUBD,,RR,4160,
CARMENVILLE SUBD,(CONSOLIDATED 3 PHASES),RR ****,5200,
CELITA SUBD,,RR,3900,
COUNTRY HOMES – ALIJIS,,RR ****,6500,
DAALCO (WOODSIDE SUBD.),**,RR,6500,
,,CR ****,7800,
,(BLOCKS 19-26),RR,#VALUE!,
DOÑA CARMEN SUBD. PH I,,RR,5200,
DOÑA CARMEN SUBD. PH II,,RR,#VALUE!,
DOÑA CARMEN SUBD. PH III,,RR,5200,
ECC VILLAGE,,RR,5200,
FAUSTINA SUBD,,RR,3120,
GLENWOOD SUBD.,,RR ****,3120,
FOREST PARK,,RR ****,7800,
JULAG-AY SUBD.,,RR ****,2080,
LA VILLA GUADALUPE I,,RR ****,6500,
LA VILLA GUADALUPE II,,RR ****,5200,
LIZARES SUBD.,,RR ****,3120,
NEGRENSE SUBD.,,RR ****,3120,
GALA SUBD (TANGUB),,RR,2080,
GREEN PLAINS III,,RR,#VALUE!,
MBA VILLAGE,,RR,3640,
MILDRED HOMES SUBD,,RR,3380,
MOUNT CARMEL VILLAGE,,RR ****,3900,
MOYONG SUBD,,RR,2080,
VILLA FERMINA,,RR ****,2990,
OLYMPIA VILLAGE,,RR,5980,
PAVER,,RR ****,2080,
PAULINE SUBD,,RR,5070,
PEDROSA SUBD,,RR,2600,
R LACSON SUBD,,RR,2600,
NHA,,RR,3640,
"PROVIDENCIA I, II & III",,RR ****,5460,
SALAZAR SUBD.,,RR ****,4680,
VIDAMO SUBD.,,RR ****,2080,
REGENT PEARL SUBD.,,RR ****,5200,
STA. LUCIA GARDEN,,RR ****,6500,
ALL OTHER STREETS,,RR,1820,
,,CR,7800,
,,GP,1300,
,,A17,107.9,
,,A50,54.6,
,NATIONAL ROAD),,0,
,,,,BARANGAY VIII
,,,,BARANGAY: INAWASAN
,,,,BARANGAY: 41 – BUGO SECTION 3
BRGY. BANAGO PROPER,,RR,5200,BARANGAY: BANAGO
CIRCUMFERENTIAL RD.,SAN JUAN STREET – LACSON STREET,RR *,10400,
,,CR *,20800,
LA COSTA – BRAVA (PHASE I),,RR *,7800,
LACSON ST,SULUM TO VALDERAMA,RR *,26000,
,,CR *,52000,
,VILLA VALDERAMA TO TALISAY,RR *,26000,
,,CR *,39000,
LACSON ST,NORTH ENTRANCE OF STA. CLARA,RR,26000,
,TO BANAGO CIRCUM. ROAD,CR,46800,
,BANAGO CIRCUM TO VILLA VALDERAMA,RR *,26000,
,TALISAY BDRY,CR,39000,
PUEBLO PORTOBELLO,,RR *,4420,
FELIX AMANTE AVE.,BANAGO WHARF TO BACOLOD TALISAY BDRY (PREVIOUSLY BANAGO BACOLOD BDRY),RR,5200,
,,CR,15600,
SAN JUAN ST,MANDALAGAN RIVER – BANAGO WHARF ROAD,RR *,20800,
,SULUM TO BANAGO WHARF,RR,24700,
,,CR,39000,
SAN JUAN ST,,RR,15600,
SAN MATEO VILLAGE (FORMERLY SAN MATEO SUBD.),,RR,3900,
STA. CLARA SUBD PHASE I,ALONG LACSON ST,RR,13000,
STA. CLARA SUBD. PHASE II,ALONG SAN JUAN ST,RR,10400,
SUNNYVILLE SUBD,,RR,7800,
,,CR *,26000,
LA COSTA BRAVA (CARMEN ROSELLO),,RR *,7800,
LOURDES CONCHA CRUZ (PUEBLO PORTOBELLO),,RR *,2600,
UNIWIDE HARBOUR CITY,,RR **,7800,
,,CR **,17160,
ALL OTHER STREETS,,RR,7280,
,,CR,20800,
,,GP,2990,
,,A1,96.2,
,,A6,104,
,,A12,157.3,
,,A17,107.9,
,LOPEZ JAENA ST,,0,
,,,,BARANGAY : TALAO
,LEADING TO MARAPARA GOLF –,RR,8840,BARANGAY: BATA
,COUNTRY CLUB,,0,
,NEAR BANAGO CREEK,RR,3900,
BATA SUBD INT,,RR,5200,
CIRCUMFERENTIAL RD,LACSON ST. TO BATA HIGH SCHOOL,RR,10400,
,,CR,20800,
CAMELLA BACOLOD,,RR *,15600,
F. TUNGOY SUBD,,RR,5200,
GOLDCREST SUBD,,RR,6500,
LACSON ST,VALDERRAMA ENTRANCE TO STO ROSARIO,CR,52000,
,STO ROSARIO TO CIRCUM. ROAD,CR *,52000,
,CROSS. BATA CIRCUM RD. TO BACOLOD – TALISAY BDRY.,CR,52000,
,,RR *,26000,
LA HERENCIA NEGRENSE,,RR,6500,
PUENTEBELLA SUBD. (JEPP) (MONTEBELLO),,RR,5200,
UNIWIDE HARBOUR CITY,,RR,#VALUE!,
,,CR,#VALUE!,
VILLA VALDERAMA,,RR,7800,
STO. ROSARIO,,RR *,3900,
NORTH CIR. ROAD,MARAPARA GOLF CLUB – SULOM CREEK,RR *,7800,
NORTH CIR. ROAD,ALL INTERIOR SUB-LOTS WITHIN BLOCKS,RR *,6500,
NORTH CIR. ROAD,ALL SUB-LOTS ALONG BANAGO CREEK,RR *,3900,
C.N. HODGES ESTATE,,RR,5200,
MARAPARA HEIGHTS,,RR,13000,
MONTEBELLO SUBD.,,RR *,5200,
VILLA LUCASAN,,RR *,7800,
ALL OTHER STREETS,,RR,5200,
,,CR,18200,
,,GP,1950,
,,A17,107.9,
,,A50,53.3,
,LOPEZ JAENA ST,,0,
,,,,BARANGAY: MILAGROSA
CABUG (PROPER),,RR *,2080,BARANGAY: CABUG
VILLASOR HOMES,,RR,3900,
VILLA GUILLENA SUBD.,,RR,5200,
VALLEY HOMES I,,RR,6500,
VALLEY HOMES II,,RR,5200,
VILLA VERDE,,RR,3900,
ALL OTHER STREETS,,RR,2340,
,,GP,1300,
,,A17,107.9,
,**,A50,58.5,
,Lot 27 -C-2- A-24 – Abelarde St. (West Side),,0,
,,,,BARANGAY: TUNTUNGAN
ABKASA,,RR,2080,BARANGAY: ESTEFANIA
JOSE BARREDO SUBD,,RR,2600,
BETHANY COURT SUBD,,RR,9100,
BURGOS ST. EXT.,CAPITOL HILLS TO,RR,10400,
,JESUSA HEIGHTS,CR,13000,
CAMELOT PHASE I & II,,RR *,5200,
CAMELOT RESIDENCES,,RR *,9100,
C. HERVIAS,,RR,2080,
CAPITOL HILLS,,RR,7150,
C.L MONTELIBANO AVE.,FROM BETHANY COURT TO GREENSVILLE I,RR *,9100,
CARMELA DE BACOLOD SUBD.,,RR *,5200,
FORTUNE TOWNE,,RR,4160,
GOLDEN PALM,,RR *,6500,
SOPHIA – GONZAGA ROAD,FROM BURGOS TO VITO CREEK,CR *,9100,
SOPHIA – GONZAGA ROAD,FROM VITO CREEK TO ESTEFANIA ELEM. SCHOOL,CR *,10400,
GLENWOOD EAST RESIDENCES,,RR *,2600,
GREENSVILLE SUBD PHASE I,,RR,7150,
HDA. LOURDES,(LUIS L. GONZAGA),RR,2080,
JESUSA HEIGHTS,,RR,5200,
LOPUE-S VILLAGE,,RR *,3900,
PALLOS VERDES VILL.,,RR,3900,
PATRICIA HOMES 11,,RR,#VALUE!,
SAN MIGUEL VILLAGE,,RR,#VALUE!,
SUNSHINE VALLEY,,RR,5200,
VILLA ANGELES,,RR,5200,
VILLA FELICIDAD,,RR,5200,
VILLA SOLEDAD,,RR,6500,
VILLA VILLETA,,RR,5980,
LA HERENCIA ESTEFANIA,,RR,5200,
LOPUES REALTY SUBD,,RR,3640,
LUIS VILLE,,RR *,3900,
ST. RAFAEL – CELINE HOMES,,RR,5200,
ST. RAFAEL – PALISADES,,RR *,18200,
"VILLA ESTEFANIA I, II & III",,RR *,3900,
CAMINGAWAN,,RR *,2600,
MARAVILLA (MARVILLE SUBD.),(FORMERLY. MARVILLE VALLEY SUBD.),RR *,2080,
MEADOWS OF CAMELOT,,RR *,6500,
PROVIDENCE NEGROS,,RR,3120,
"EAST HOMES (JERRY G. ONG) I ,II,III",,RR *,3900,
COUNTRY HOMES I & II,(PREVIOUSLY COUNTRY HOMES ONLY),RR *,3900,
COUNTRY HOMES III,,RR *,3900,
VILLA ALEXANDRIA SUBD I (RAMON ASCALON),,RR *,3900,
VILLA ALEXANDRIA SUBD II,,RR *,5200,
CITYVILLE SUBD.,,RR *,2860,
BUENA ROYALE,,RR *,6500,
ALL OTHER STREETS,,RR,5200,
,,GP,2080,
,,A17,107.9,
,,A50,52,
"NEW CEBU, OSMENA, PALILI, PARAMI, ROXAS, SOLONGVALE,",,,0,
,,,,BARANGAY: BOALAN
AFP VILLAGE,,RR **,3250,BARANGAY: FELISA
BRGY. FELISA PROPER,,RR,2080,
EDMAR VILLAGE SUBD,,RR,1820,
TIERRA PASAY VILLAGE,,RR *,1560,
ALL OTHER STREETS,,RR,1300,
,,GP,780,
,,A17,107.9,
,,A50,57.2,
Note: *New subdivision and classification of land in this Barangay,,,0,
,,,,BARANGAY: 45 – TABLON SECTION 7
CAPITOL VILLAGE,,RR,5720,BARANGAY: GRANADA
MARVILLE VALLEY SUBD.,,RR *,1300,
LETICIA DEL ROSARIO SUBD,ESTEFANIA TO LETICIA,RR,3640,
MONTELIBANO ST,ALONG THE MAIN ROAD,RR,6500,
,L. DEL ROSARIO SUBD TO ALANGILAN,RR,5590,
MONTELIBANO SUBD,E. LIZARES H/S – CROSSING ALANGILAN,RR,3900,
,CROSSING ALANGILAN – GRANADA E/S,,#VALUE!,
PATRICIA HOMES I,,RR,3900,
SAN DIONISIO SUBD,(LUIS L. GONZAGA),RR,3640,
SAN MIGUEL VILLAGE,,RR,6760,
CHARITO HEIGHTS,,RR,5200,
GLENDALE SUBD.,,RR *,3900,
STONE HAVEN RESIDENCES,,RR *,3900,
PROVIDENCE NEGROS,(EXCEPT LOTS ALONG BACOLOD-GRANADA ROAD),RR *,7800,
SAN FRANCISCO FARMVILLE,,RR *,2080,
GRANADA HEIGHTS,,RR *,7020,
RESIDENCIA ROYALE,,RR *,9100,
STA. FE RESORT,,RR *,10400,
ALL OTHER STREETS,,RR,2600,
,BESIDES HIGHWAY,CR,7800,
,ALL OTHER STREETS,CR,6760,
,,GP,1300,
,,A17,107.9,
,,A50,58.5,
,R. Diao St. to Provincial Road,,0,
BARANGAY: HANDUMANAN,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
MRRP,,GL **,2600,
,,CR *,5200,
,,RR *,3900,
MSSP,,GL **,2600,
SORIANO AVE,,CR,5850,
,,GP,975,
PUROK LUBI,,RR *,2600,
PUROK PAHO,,RR *,2600,
PUROK MAHOGANY,,RR *,2080,
NEDF,,RR *,2080,
NGO,,RR *,2080,
LUCKY HOMES,,RR *,2080,
VILLASOR VILLAGE,,RR *,3900,
ALL OTHER LOTS,,RR,2600,
,,CR,3900,
,,A17,107.9,
,***,A50,58.5,
Note: * New location in this Barangay,,,0,
BARANGAY: VILLAREAL,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
BARANGAY: BOLOD-BOLOD,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
BARANGAY: MANDALAGAN,,,0,
STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,#VALUE!,
BURI ROAD,LACSON ST. TO L.N. AGUSTIN JUNCTION,RR,8775,
,,CR *,13000,
,L.N. AGUSTIN JUNC. TO CIRCUM RD,RR,5200,
ERORECO VILLAGE,,RR,6500,
LA SALLE AVENUE CONDOMINIUM,,RC *,96200,
HORSE SHOE (BACK OF VISMAC),,RR,5200,
JAPITANA VILLAGE,,RR,5200,
LACSON ST,MANDALAGAN BRIDGE TO NORTH,,0,
,ENTRANCE OF STA. CLARA &,CR,57200,
,VILLA VALDERRAMA,,0,
MISSION VIEJO HOMES,,RR,9100,
MT. VIEW SUBD I,,RR,7800,
MT. VIEW SUBD II,,RR *,8450,
MT. VIEW PORFERIA,,RR *,7800,
STA. CLARA EXEC. VILL.,(TOWNHOUSES) FORMERLY RR,RR,13000,
STA. MONICA,,RR,5200,
ST. ANNE PARK,,RR,7800,
VILLA GEORGINA,,RR,9100,
VILLA LUCASAN,,RR,7800,
722 METROPOLIS,,RC *,78000,
GUADALUPE-LN-CITY CORP.,,RR *,6500,
FOODMAN VILLAGE,,RR *,2080,
ACTIVE PROGRESO,,RR *,1820,
PUROK SANTOL,,RR *,3900,
PUROK SAMBAG,,RR *,5200,
SAN LORENZO VILLAGE,PRK. BULAK,RR *,3900,
SANTORINI SUBD.,,RR *,7800,
VILLANUEVA-HOLLERO,ERORECO AREA,RR *,7800,
CAPITOL HEIGHTS V & VI,,RR *,7800,
GRAND ESTANZIA,,RR *,5200,
